setting,method,fit_step_min,fit_step_max,stable_slope_per_1k_steps,stable_intercept,stable_linear_r2,n_points
cos,one_power,10000,27100,-0.007083853900525833,-0.04544906420186249,0.9581638080245233,172
cos,single,10000,27100,0.0016005295028931272,0.016118360916567532,0.6737833321621313,172
cos,mpl,10000,27100,0.0016407528219631068,0.0176465109494912,0.6843002995584422,172
cos + 8-1-1,one_power,10000,27100,-0.0021477719310405456,-0.03394525542398273,0.7551441801873751,172
cos + 8-1-1,single,10000,27100,0.0006127310459341439,0.0011832272174444613,0.232764952090996,172
cos + 8-1-1,mpl,10000,27100,0.0005269512610291594,0.0017284743946286256,0.18295646727857606,172
cos + 8-1-1 const,one_power,10000,27100,0.0001968963515462756,-0.019795164098411436,0.029863756160642407,172
cos + 8-1-1 const,single,10000,27100,0.0004968411898616544,0.0019846022687827138,0.16591695303288478,172
cos + 8-1-1 const,mpl,10000,27100,0.0005985534333878609,0.0009584456585016253,0.2244400111123479,172
